date,score
2020/02/02,2.7431876742594596
2020/02/03,2.7626642385447506
2020/02/04,2.7894591786810428
2020/02/05,2.7262996536355364
2020/02/06,2.693185331032016
2020/02/07,2.6725052988354725
2020/02/08,2.6735188971753336
2020/02/09,2.652301697801208
2020/02/10,2.631760390908428
2020/02/11,2.5553973052658296
2020/02/12,2.526831581441993
2020/02/13,2.5052899050148247
2020/02/14,2.448980049665638
2020/02/16,2.4840324615213953
2020/02/17,2.4537840053108892
2020/02/18,2.2796929463536855
2020/02/19,2.22369866385587
2020/02/20,2.223036809863261
2020/02/21,2.159556789206629
2020/02/22,2.1333635654011758
2020/02/23,2.156969606590606
2020/02/24,2.170229931102665
2020/02/25,2.124672576501001
2020/02/26,1.7187646739491464
2020/02/27,1.2666707636181
2020/02/28,0.32441443935481684
